matrix_size,threads_used,seconds,joules,mean_watts
3000,1,29,1410,49
3000,2,17,998,59
3000,4,13,773,59
3000,6,14,897,64
3000,8,19,1163,61
3000,10,20,1302,65
3000,12,19,1200,63
3000,14,18,1125,62
3000,16,17,1097,65
3000,18,17,1187,70
3000,20,16,1110,69
3000,22,16,1111,69
3000,24,15,1066,71
3000,26,15,926,62
3000,28,15,1045,70
3000,30,14,958,68
3000,32,15,1046,70
4000,1,90,4091,45
4000,2,45,2721,60
4000,4,35,2261,65
4000,6,34,2074,61
4000,8,50,3158,63
4000,10,52,3128,60
4000,12,50,3279,66
4000,14,47,3079,66
4000,16,44,2894,66
4000,18,43,2962,69
4000,20,41,2703,66
4000,22,40,2743,69
4000,24,39,2453,63
4000,26,37,2467,67
4000,28,36,2483,69
4000,30,35,2428,69
4000,32,35,2276,65
5000,1,211,9441,45
5000,2,104,6144,59
5000,4,77,4831,63
5000,6,71,4547,64
5000,8,94,6318,67
5000,10,101,6819,68
5000,12,97,6538,67
5000,14,94,6298,67
5000,16,88,5887,67
5000,18,85,5598,66
5000,20,80,5197,65
5000,22,79,5134,65
5000,24,75,5010,67
5000,26,72,4798,67
5000,28,71,4670,66
5000,30,68,4513,66
5000,32,67,4488,67
6000,1,365,16488,45
6000,2,181,10787,60
6000,4,135,8198,61
6000,6,123,7752,63
6000,8,166,10449,63
6000,10,176,11276,64
6000,12,173,11329,65
6000,14,166,11130,67
6000,16,159,10191,64
6000,18,149,9690,65
6000,20,146,9675,66
6000,22,145,9678,67
6000,24,140,9214,66
6000,26,132,8543,65
6000,28,125,8127,65
6000,30,120,7778,65
6000,32,118,7614,65
7000,1,610,28575,47
7000,2,311,18363,59
7000,4,221,13370,60
7000,6,206,13074,63
7000,8,251,15897,63
7000,10,270,17821,66
7000,12,273,18115,66
7000,14,266,17734,67
7000,16,250,16533,66
7000,18,242,16297,67
7000,20,229,15330,67
7000,22,239,15470,65
7000,24,228,15621,68
7000,26,216,14283,66
7000,28,204,13142,64
7000,30,192,12540,65
7000,32,190,12809,67
8000,1,973,45230,46
8000,2,490,28962,59
8000,4,350,21479,61
8000,6,316,20021,63
8000,8,389,24470,63
8000,10,420,27541,66
8000,12,425,28525,67
8000,14,413,27565,67
8000,16,389,24754,64
8000,18,365,24743,68
8000,20,349,23506,67
8000,22,368,24757,67
8000,24,351,23135,66
8000,26,338,21784,64
8000,28,317,20698,65
8000,30,304,19867,65
8000,32,300,19967,67
9000,1,1502,70572,47
9000,2,765,45827,60
9000,4,542,32752,60
9000,6,490,30199,62
9000,8,555,33520,60
9000,10,612,39128,64
9000,12,614,40458,66
9000,14,588,37959,65
9000,16,569,37220,65
9000,18,537,35863,67
9000,20,527,34471,65
9000,22,537,35535,66
9000,24,536,35884,67
9000,26,511,34503,67
9000,28,484,31416,65
9000,30,460,29770,65
9000,32,450,29016,64
10000,1,2231,106859,48
10000,2,1130,65451,58
10000,4,769,45334,59
10000,6,710,41974,59
10000,8,802,50516,63
10000,10,817,49929,61
10000,12,838,53273,64
10000,14,821,52210,64
10000,16,790,47888,61
10000,18,747,48100,64
10000,20,723,47990,66
10000,22,740,46751,63
10000,24,734,48296,66
10000,26,725,47708,66
10000,28,703,44846,64
10000,30,676,45204,67
10000,32,670,44002,66
