matrix_size,threads_used,seconds,joules,mean_watts
3000,1,29,1369,47
3000,2,16,864,54
3000,4,13,792,61
3000,6,14,882,63
3000,8,20,1051,53
3000,10,20,1312,66
3000,12,19,1097,58
3000,14,18,1162,65
3000,16,17,1097,65
3000,18,16,1175,73
3000,20,16,1073,67
3000,22,16,936,58
3000,24,15,985,66
3000,26,15,877,58
3000,28,15,1066,71
3000,30,15,999,67
3000,32,14,965,69
4000,1,90,4189,47
4000,2,46,2729,59
4000,4,34,2092,62
4000,6,34,2112,62
4000,8,50,3063,61
4000,10,52,3062,59
4000,12,49,3013,61
4000,14,46,2904,63
4000,16,44,2968,67
4000,18,43,2733,64
4000,20,41,2643,64
4000,22,40,2829,71
4000,24,39,2473,63
4000,26,37,2614,71
4000,28,36,2289,64
4000,30,35,2303,66
4000,32,34,2107,62
5000,1,216,9902,46
5000,2,104,6078,58
5000,4,77,4727,61
5000,6,71,4329,61
5000,8,95,6431,68
5000,10,101,6725,67
5000,12,99,6495,66
5000,14,92,5759,63
5000,16,88,5622,64
5000,18,84,5609,67
5000,20,80,5210,65
5000,22,78,5047,65
5000,24,75,4938,66
5000,26,72,4625,64
5000,28,70,4684,67
5000,30,67,4557,68
5000,32,68,4530,67
6000,1,366,16696,46
6000,2,184,10647,58
6000,4,133,8317,63
6000,6,123,7655,62
6000,8,165,11025,67
6000,10,177,11707,66
6000,12,172,11025,64
6000,14,165,10331,63
6000,16,160,10792,67
6000,18,150,9932,66
6000,20,144,9238,64
6000,22,143,9652,67
6000,24,140,8864,63
6000,26,132,8215,62
6000,28,124,8162,66
6000,30,120,7711,64
6000,32,116,7477,64
7000,1,624,28270,45
7000,2,313,18389,59
7000,4,221,13638,62
7000,6,205,13007,63
7000,8,257,16208,63
7000,10,274,17688,65
7000,12,272,18233,67
7000,14,264,17714,67
7000,16,249,16579,67
7000,18,238,15772,66
7000,20,232,15275,66
7000,22,237,16168,68
7000,24,229,15315,67
7000,26,213,14060,66
7000,28,202,12699,63
7000,30,192,12206,64
7000,32,188,11023,59
8000,1,988,45870,46
8000,2,488,27925,57
8000,4,347,20128,58
8000,6,323,19585,61
8000,8,380,23881,63
8000,10,420,27218,65
8000,12,429,28252,66
8000,14,406,26732,66
8000,16,388,24889,64
8000,18,372,24166,65
8000,20,355,22745,64
8000,22,365,24122,66
8000,24,359,23676,66
8000,26,336,21740,65
8000,28,316,19549,62
8000,30,305,19226,63
8000,32,297,17700,60
9000,1,1516,70720,47
9000,2,757,43197,57
9000,4,540,32685,61
9000,6,490,30636,63
9000,8,560,34924,62
9000,10,603,38092,63
9000,12,603,39617,66
9000,14,588,38338,65
9000,16,563,37455,67
9000,18,552,35239,64
9000,20,516,34648,67
9000,22,530,34730,66
9000,24,526,36033,68
9000,26,510,31832,62
9000,28,481,31430,65
9000,30,462,29162,63
9000,32,454,29220,64
10000,1,2253,108018,48
10000,2,1124,65972,59
10000,4,793,47722,60
10000,6,696,42857,62
10000,8,789,49192,62
10000,10,835,52669,63
10000,12,837,54129,65
10000,14,829,53337,64
10000,16,783,52002,66
10000,18,763,50130,66
10000,20,720,46340,64
10000,22,725,47050,65
10000,24,728,48049,66
10000,26,721,46781,65
10000,28,693,45806,66
10000,30,669,42700,64
10000,32,649,41384,64
