matrix_size,threads_used,seconds,joules,mean_watts
3000,1,47,2176,45
3000,2,23,1323,57
3000,4,16,1056,53
3000,6,13,1006,50
3000,8,13,998,48
3000,10,12,812,50
3000,12,12,893,58
3000,14,11,889,43
3000,16,12,1871,54
3000,18,12,848,37
3000,20,12,766,41
3000,22,12,829,45
3000,24,12,823,51
3000,26,11,729,45
3000,28,11,684,49
3000,30,11,823,41
3000,32,11,881,38
4000,1,127,5756,45
4000,2,65,3964,57
4000,4,43,2694,57
4000,6,37,2310,58
4000,8,34,2225,57
4000,10,32,2142,58
4000,12,30,2258,54
4000,14,32,2161,62
4000,16,33,2120,57
4000,18,31,1800,56
4000,20,30,2125,51
4000,22,30,1969,57
4000,24,30,2085,60
4000,26,30,1896,59
4000,28,29,1853,60
4000,30,30,2062,54
4000,32,30,1928,60
5000,1,323,14791,46
5000,2,156,9256,59
5000,4,106,6431,60
5000,6,86,5228,60
5000,8,75,4627,61
5000,10,69,4371,58
5000,12,64,4248,61
5000,14,68,4094,62
5000,16,68,4163,63
5000,18,64,3993,61
5000,20,62,3752,60
5000,22,62,3548,60
5000,24,62,3686,63
5000,26,60,3679,62
5000,28,60,3440,62
5000,30,61,3550,60
5000,32,61,3933,60
6000,1,527,23897,45
6000,2,264,15113,59
6000,4,176,10318,61
6000,6,149,8312,62
6000,8,128,7031,62
6000,10,120,7324,61
6000,12,114,7280,64
6000,14,122,7615,65
6000,16,126,8077,62
6000,18,117,6824,63
6000,20,111,6424,62
6000,22,114,7016,61
6000,24,115,7200,63
6000,26,113,6380,62
6000,28,112,6474,62
6000,30,113,6202,63
6000,32,117,6866,61
7000,1,971,44152,45
7000,2,452,25665,59
7000,4,308,17826,61
7000,6,255,15225,62
7000,8,221,13691,63
7000,10,210,12061,63
7000,12,200,12522,63
7000,14,207,12844,64
7000,16,209,12666,62
7000,18,194,11176,62
7000,20,194,11214,63
7000,22,188,10720,63
7000,24,190,11296,63
7000,26,187,11132,62
7000,28,185,10737,64
7000,30,182,10699,62
7000,32,183,11113,62
8000,1,1515,69993,46
8000,2,699,40565,59
8000,4,450,27078,61
8000,6,387,22737,61
8000,8,344,20830,62
8000,10,306,17915,63
8000,12,301,17742,63
8000,14,319,19783,63
8000,16,314,19244,63
8000,18,296,16902,63
8000,20,282,16425,62
8000,22,286,16879,63
8000,24,288,16511,63
8000,26,290,17665,63
8000,28,285,16465,63
8000,30,282,16612,64
8000,32,281,16381,64
9000,1,9410,102276,47
9000,2,1052,60440,59
9000,4,720,43478,61
9000,6,556,32731,62
9000,8,513,30614,62
9000,10,466,27731,63
9000,12,434,26751,64
9000,14,464,28811,65
9000,16,463,28549,64
9000,18,437,25775,63
9000,20,414,25643,63
9000,22,416,24780,63
9000,24,422,24993,63
9000,26,414,25070,64
9000,28,416,25530,64
9000,30,407,24579,64
9000,32,410,24357,64
10000,1,3228,152152,47
10000,2,1583,92396,59
10000,4,1037,61250,61
10000,6,842,49890,62
10000,8,745,44728,62
10000,10,690,41489,63
10000,12,657,39330,63
10000,14,656,39956,64
10000,16,644,39096,64
10000,18,621,37252,63
10000,20,594,35440,63
10000,22,593,35821,63
10000,24,601,35668,64
10000,26,599,36340,63
10000,28,591,35712,64
10000,30,584,34283,64
10000,32,593,37624,63
