matrix_size,threads_used,seconds,joules,mean_watts
3000,1,47,1876,45
3000,2,23,1388,57
3000,4,16,1039,55
3000,6,13,917,50
3000,8,13,969,47
3000,10,12,848,46
3000,12,12,851,43
3000,14,11,815,44
3000,16,12,784,55
3000,18,12,900,45
3000,20,12,828,41
3000,22,12,792,49
3000,24,12,759,53
3000,26,11,909,51
3000,28,11,846,42
3000,30,11,824,49
3000,32,11,812,43
4000,1,136,6076,45
4000,2,64,3816,59
4000,4,44,2626,59
4000,6,37,2375,58
4000,8,34,2288,57
4000,10,33,2398,51
4000,12,32,2100,59
4000,14,32,2114,64
4000,16,33,2213,56
4000,18,31,2047,58
4000,20,30,1863,56
4000,22,30,1852,60
4000,24,30,1982,57
4000,26,30,1985,60
4000,28,29,1937,56
4000,30,29,1917,54
4000,32,30,2073,55
5000,1,346,15737,46
5000,2,157,9391,59
5000,4,102,6227,60
5000,6,84,5074,60
5000,8,74,4314,62
5000,10,70,4200,62
5000,12,66,4230,63
5000,14,69,4424,62
5000,16,69,4453,60
5000,18,64,3843,62
5000,20,61,3726,62
5000,22,63,3489,61
5000,24,63,3986,59
5000,26,62,3921,63
5000,28,61,3847,61
5000,30,61,3794,63
5000,32,62,4023,60
6000,1,558,25396,46
6000,2,267,15355,60
6000,4,179,10434,61
6000,6,147,8944,61
6000,8,131,7996,61
6000,10,125,7703,63
6000,12,115,6919,64
6000,14,124,7961,65
6000,16,128,7922,62
6000,18,122,7572,62
6000,20,118,7313,61
6000,22,115,7097,61
6000,24,115,7092,61
6000,26,113,6965,62
6000,28,113,6727,62
6000,30,113,6500,63
6000,32,113,7173,61
7000,1,986,44689,46
7000,2,447,26550,59
7000,4,306,17951,61
7000,6,239,14309,62
7000,8,238,13786,62
7000,10,207,12525,63
7000,12,193,12007,63
7000,14,205,12488,64
7000,16,219,13628,63
7000,18,198,11957,62
7000,20,182,10918,62
7000,22,190,11155,63
7000,24,191,11643,62
7000,26,185,10859,63
7000,28,188,11528,63
7000,30,184,10612,63
7000,32,185,11256,63
8000,1,1491,69298,47
8000,2,704,40329,59
8000,4,482,28254,60
8000,6,400,23615,62
8000,8,336,20310,63
8000,10,321,19181,63
8000,12,301,18014,64
8000,14,320,19947,64
8000,16,319,19638,63
8000,18,290,16944,62
8000,20,278,16638,62
8000,22,289,17370,63
8000,24,285,16959,63
8000,26,287,17140,63
8000,28,279,16638,63
8000,30,282,17110,63
8000,32,281,16652,63
9000,1,2286,105287,46
9000,2,1071,62523,59
9000,4,687,41235,60
9000,6,606,36577,61
9000,8,514,30731,63
9000,10,468,28743,62
9000,12,442,27453,64
9000,14,465,28036,64
9000,16,468,28616,63
9000,18,436,26837,63
9000,20,413,25370,62
9000,22,428,26886,62
9000,24,410,25504,63
9000,26,421,25687,63
9000,28,418,25229,63
9000,30,419,25729,63
9000,32,410,25642,63
10000,1,3327,157908,47
10000,2,1558,91108,59
10000,4,1019,60885,61
10000,6,824,49646,62
10000,8,755,45560,62
10000,10,691,42873,63
10000,12,662,40611,63
10000,14,670,42744,64
10000,16,653,39891,63
10000,18,617,38164,62
10000,20,586,36050,63
10000,22,599,36457,63
10000,24,598,37453,63
10000,26,600,35545,64
10000,28,603,37774,64
10000,30,588,35378,63
10000,32,572,35082,64
