matrix_size,threads_used,seconds,joules,mean_watts
3000,1,12,153,13
3000,2,7,153,21
3000,4,5,117,25
3000,6,4,92,21
3000,8,4,93,24
3000,10,4,93,25
3000,12,4,78,20
3000,14,4,113,31
3000,16,4,111,29
3000,18,4,99,26
3000,20,4,119,30
3000,22,4,87,22
3000,24,4,116,29
3000,26,4,87,22
3000,28,4,98,24
3000,30,4,122,31
3000,32,4,101,25
4000,1,45,591,13
4000,2,26,609,24
4000,4,15,424,29
4000,6,14,406,29
4000,8,12,364,29
4000,10,12,376,32
4000,12,11,369,33
4000,14,11,343,32
4000,16,12,362,31
4000,18,11,348,31
4000,20,12,367,31
4000,22,12,392,33
4000,24,12,394,33
4000,26,12,387,33
4000,28,12,382,33
4000,30,11,375,33
4000,32,11,351,31
5000,1,100,1359,14
5000,2,57,1186,21
5000,4,31,1011,32
5000,6,30,938,31
5000,8,26,850,33
5000,10,25,819,33
5000,12,23,830,36
5000,14,23,827,37
5000,16,25,877,35
5000,18,24,857,35
5000,20,26,883,34
5000,22,26,929,36
5000,24,26,887,34
5000,26,26,894,35
5000,28,26,861,34
5000,30,26,898,35
5000,32,25,876,35
6000,1,191,3041,16
6000,2,108,2128,20
6000,4,58,1888,32
6000,6,56,1737,31
6000,8,47,1723,37
6000,10,46,1615,35
6000,12,43,1610,38
6000,14,42,1539,37
6000,16,46,1644,36
6000,18,44,1628,37
6000,20,47,1716,36
6000,22,46,1725,37
6000,24,48,1693,35
6000,26,46,1717,37
6000,28,46,1672,36
6000,30,46,1690,36
6000,32,46,1661,36
7000,1,311,4689,15
7000,2,178,3525,20
7000,4,95,3193,34
7000,6,89,2862,32
7000,8,77,2755,36
7000,10,74,2637,36
7000,12,70,2666,38
7000,14,67,2548,38
7000,16,74,2716,37
7000,18,70,2693,38
7000,20,77,2805,36
7000,22,75,2812,38
7000,24,78,2891,37
7000,26,76,2828,37
7000,28,76,2811,37
7000,30,76,2799,37
7000,32,75,2756,37
8000,1,475,7304,15
8000,2,264,5224,20
8000,4,143,4836,34
8000,6,138,4443,32
8000,8,114,4214,37
8000,10,112,4019,36
8000,12,107,4123,39
8000,14,103,4021,39
8000,16,114,4275,38
8000,18,108,4151,39
8000,20,118,4362,37
8000,22,115,4403,38
8000,24,119,4442,37
8000,26,116,4345,37
8000,28,116,4299,37
8000,30,117,4388,37
8000,32,116,4293,37
9000,1,669,9738,15
9000,2,379,7576,20
9000,4,207,7087,34
9000,6,200,6422,32
9000,8,164,6058,37
9000,10,162,5873,36
9000,12,156,6037,39
9000,14,151,5843,39
9000,16,169,6287,37
9000,18,162,6174,38
9000,20,174,6499,37
9000,22,171,6525,38
9000,24,176,6523,37
9000,26,171,6478,38
9000,28,170,6371,37
9000,30,172,6401,37
9000,32,170,6358,37
10000,1,930,13643,15
10000,2,529,10629,20
10000,4,288,9849,34
10000,6,271,9069,34
10000,8,229,8556,37
10000,10,222,8275,37
10000,12,222,8566,39
10000,14,212,8347,39
10000,16,240,8827,37
10000,18,234,8957,38
10000,20,246,9131,37
10000,22,243,9224,38
10000,24,247,9273,37
10000,26,244,9191,38
10000,28,242,9080,38
10000,30,244,9093,37
10000,32,241,9052,38
