matrix_size,threads_used,seconds,joules,mean_watts
3000,1,12,207,17
3000,2,8,162,20
3000,4,5,147,32
3000,6,5,151,33
3000,8,4,96,25
3000,10,4,104,26
3000,12,4,137,36
3000,14,4,146,40
3000,16,4,151,40
3000,18,4,148,39
3000,20,4,127,33
3000,22,4,93,24
3000,24,4,155,38
3000,26,4,156,39
3000,28,4,155,38
3000,30,4,107,26
3000,32,4,159,38
4000,1,46,612,13
4000,2,27,547,20
4000,4,15,448,31
4000,6,14,444,31
4000,8,12,454,37
4000,10,12,447,37
4000,12,11,441,39
4000,14,11,429,40
4000,16,12,402,34
4000,18,11,449,40
4000,20,12,429,35
4000,22,12,464,39
4000,24,12,423,35
4000,26,12,399,34
4000,28,12,456,39
4000,30,12,453,39
4000,32,12,396,34
5000,1,100,1378,14
5000,2,58,1205,21
5000,4,31,1032,33
5000,6,30,976,32
5000,8,26,947,36
5000,10,25,893,36
5000,12,23,879,37
5000,14,23,871,38
5000,16,25,914,36
5000,18,24,904,37
5000,20,26,943,36
5000,22,26,961,37
5000,24,26,958,36
5000,26,26,945,37
5000,28,26,936,36
5000,30,26,934,36
5000,32,25,930,37
6000,1,185,2591,14
6000,2,108,2176,20
6000,4,58,1962,34
6000,6,55,1788,33
6000,8,47,1730,37
6000,10,46,1613,35
6000,12,42,1575,37
6000,14,42,1584,38
6000,16,46,1720,37
6000,18,44,1703,39
6000,20,47,1710,36
6000,22,46,1772,38
6000,24,48,1762,37
6000,26,47,1766,38
6000,28,46,1718,37
6000,30,46,1760,38
6000,32,46,1705,37
7000,1,306,4383,14
7000,2,177,3520,20
7000,4,94,3189,34
7000,6,91,2981,33
7000,8,77,2860,37
7000,10,75,2694,36
7000,12,70,2677,38
7000,14,67,2624,39
7000,16,74,2750,37
7000,18,70,2734,39
7000,20,77,2829,37
7000,22,75,2913,39
7000,24,78,2874,37
7000,26,76,2822,37
7000,28,76,2809,37
7000,30,76,2821,37
7000,32,75,2791,37
8000,1,462,6736,15
8000,2,263,5281,20
8000,4,142,4880,34
8000,6,138,4477,32
8000,8,115,4267,37
8000,10,112,4066,36
8000,12,107,4133,39
8000,14,103,4064,39
8000,16,114,4223,37
8000,18,108,4186,39
8000,20,118,4361,37
8000,22,115,4432,39
8000,24,120,4461,37
8000,26,117,4390,38
8000,28,116,4343,37
8000,30,118,4431,38
8000,32,116,4374,38
9000,1,666,9786,15
9000,2,380,7621,20
9000,4,207,7072,34
9000,6,200,6464,32
9000,8,166,6153,37
9000,10,161,5951,37
9000,12,157,6006,38
9000,14,151,5961,39
9000,16,169,6270,37
9000,18,162,6265,39
9000,20,174,6464,37
9000,22,172,6514,38
9000,24,176,6558,37
9000,26,172,6441,38
9000,28,171,6443,38
9000,30,172,6445,37
9000,32,171,6367,37
10000,1,925,13630,15
10000,2,529,10657,20
10000,4,286,9772,34
10000,6,271,9010,33
10000,8,229,8539,37
10000,10,222,8303,37
10000,12,222,8542,39
10000,14,212,8348,39
10000,16,239,8868,37
10000,18,233,8927,38
10000,20,246,9144,37
10000,22,244,9225,38
10000,24,248,9232,37
10000,26,245,9173,37
10000,28,242,9046,37
10000,30,243,9141,38
10000,32,241,9046,38
