matrix_size,threads_used,seconds,joules,mean_watts
3000,1,14,2008,123
3000,2,8,1582,126
3000,4,5,1044,127
3000,6,4,1138,133
3000,8,3,1277,137
3000,10,5,1285,133
3000,12,5,1071,143
3000,14,5,1327,143
3000,16,4,1615,129
3000,18,4,1397,130
3000,20,4,1249,129
3000,22,4,1357,141
3000,24,4,973,130
3000,26,5,1583,134
3000,28,4,1573,137
3000,30,4,1088,132
3000,32,4,1429,133
4000,1,52,6402,124
4000,2,28,3894,130
4000,4,18,2659,138
4000,6,12,2211,137
4000,8,11,2066,143
4000,10,15,2516,142
4000,12,13,2601,138
4000,14,12,2279,142
4000,16,11,2314,149
4000,18,12,2368,147
4000,20,12,2397,149
4000,22,12,2213,153
4000,24,12,2177,150
4000,26,12,2269,151
4000,28,11,2122,152
4000,30,11,1932,157
4000,32,12,2191,151
5000,1,117,14769,125
5000,2,60,8303,131
5000,4,38,4713,139
5000,6,27,3824,148
5000,8,23,3511,156
5000,10,32,4476,146
5000,12,30,3412,151
5000,14,27,3801,157
5000,16,24,3632,161
5000,18,28,4228,155
5000,20,28,4041,157
5000,22,26,4464,154
5000,24,27,4047,157
5000,26,27,4736,155
5000,28,26,4289,157
5000,30,26,3569,162
5000,32,23,3699,164
6000,1,268,33251,125
6000,2,141,18331,132
6000,4,78,10525,141
6000,6,56,8337,150
6000,8,48,6841,157
6000,10,64,8958,148
6000,12,55,7777,153
6000,14,50,7305,159
6000,16,46,7114,164
6000,18,53,8294,156
6000,20,52,8196,157
6000,22,51,8043,159
6000,24,52,8031,158
6000,26,52,7411,159
6000,28,48,7381,161
6000,30,48,7499,163
6000,32,46,6704,167
7000,1,457,56919,125
7000,2,244,31862,133
7000,4,132,18329,144
7000,6,96,14369,153
7000,8,80,12116,162
7000,10,105,15665,151
7000,12,91,13521,156
7000,14,80,12801,162
7000,16,75,12012,166
7000,18,88,13835,158
7000,20,84,12960,159
7000,22,83,12653,160
7000,24,85,12761,160
7000,26,83,12933,161
7000,28,80,13026,163
7000,30,77,12455,166
7000,32,75,12516,167
8000,1,746,93642,125
8000,2,397,52213,133
8000,4,218,31750,144
8000,6,157,23556,155
8000,8,127,20554,162
8000,10,166,24463,154
8000,12,145,21811,158
8000,14,127,19993,162
8000,16,120,18790,167
8000,18,137,20837,160
8000,20,137,21585,161
8000,22,134,19935,162
8000,24,134,20612,163
8000,26,132,21245,163
8000,28,128,20319,165
8000,30,121,18839,168
8000,32,121,19397,167
9000,1,1138,141865,125
9000,2,613,81437,134
9000,4,322,45828,146
9000,6,228,34964,157
9000,8,190,28861,166
9000,10,238,35953,155
9000,12,210,32854,159
9000,14,187,29564,165
9000,16,174,28356,168
9000,18,202,31475,161
9000,20,200,29995,162
9000,22,197,30324,164
9000,24,197,31019,163
9000,26,193,29649,165
9000,28,188,28927,166
9000,30,180,28135,169
9000,32,177,28521,169
10000,1,1710,212928,125
10000,2,894,118399,135
10000,4,463,66080,147
10000,6,340,51254,157
10000,8,260,41308,169
10000,10,337,50681,157
10000,12,300,43649,161
10000,14,262,40630,166
10000,16,244,38798,170
10000,18,281,42441,163
10000,20,283,43894,163
10000,22,282,44135,164
10000,24,279,45632,165
10000,26,276,43692,166
10000,28,266,41876,168
10000,30,255,40123,170
10000,32,253,41988,170
