matrix_size,threads_used,seconds,joules,mean_watts
3000,1,15,2063,124
3000,2,8,1585,126
3000,4,5,1276,127
3000,6,4,978,140
3000,8,3,1084,144
3000,10,6,1089,139
3000,12,5,1046,144
3000,14,4,912,136
3000,16,4,1225,146
3000,18,4,932,139
3000,20,4,934,139
3000,22,4,1313,142
3000,24,5,902,134
3000,26,4,954,142
3000,28,4,848,151
3000,30,4,876,131
3000,32,4,1208,144
4000,1,53,6679,124
4000,2,27,3784,131
4000,4,16,2494,135
4000,6,13,2250,137
4000,8,11,2044,148
4000,10,16,2516,143
4000,12,13,2235,148
4000,14,12,1957,155
4000,16,11,2216,151
4000,18,12,1776,157
4000,20,12,2140,155
4000,22,11,1897,151
4000,24,12,1937,154
4000,26,12,2290,148
4000,28,11,1991,158
4000,30,11,1757,155
4000,32,11,2005,149
5000,1,117,14594,125
5000,2,60,7531,133
5000,4,37,5269,140
5000,6,26,3922,148
5000,8,23,3539,152
5000,10,32,4435,147
5000,12,30,4400,152
5000,14,27,4014,156
5000,16,25,3956,161
5000,18,27,4112,156
5000,20,27,4049,153
5000,22,27,3831,156
5000,24,28,4355,154
5000,26,27,4157,157
5000,28,26,4122,156
5000,30,25,3657,161
5000,32,25,4057,161
6000,1,273,33640,125
6000,2,142,18307,133
6000,4,80,11168,141
6000,6,58,8133,150
6000,8,48,7410,157
6000,10,65,9493,148
6000,12,56,8874,152
6000,14,50,7603,159
6000,16,46,7078,163
6000,18,54,8583,157
6000,20,52,7801,157
6000,22,51,8265,156
6000,24,51,8028,157
6000,26,51,7469,158
6000,28,49,7577,161
6000,30,47,7294,163
6000,32,44,7242,167
7000,1,464,57552,125
7000,2,241,31677,133
7000,4,135,19017,143
7000,6,98,14776,153
7000,8,79,12499,161
7000,10,105,15052,152
7000,12,91,14182,156
7000,14,79,12431,163
7000,16,74,11989,165
7000,18,89,12978,158
7000,20,85,13115,160
7000,22,84,12294,161
7000,24,85,13532,159
7000,26,84,13620,160
7000,28,81,12308,163
7000,30,76,12652,165
7000,32,74,12345,168
8000,1,728,91468,126
8000,2,389,50688,134
8000,4,212,30409,145
8000,6,156,23894,155
8000,8,125,18775,164
8000,10,165,24520,153
8000,12,143,22731,157
8000,14,126,19987,162
8000,16,118,19146,167
8000,18,137,20347,160
8000,20,138,20519,161
8000,22,133,21282,162
8000,24,136,20844,162
8000,26,133,20040,163
8000,28,127,20268,164
8000,30,121,19122,167
8000,32,120,19989,168
9000,1,1161,145730,126
9000,2,606,78945,134
9000,4,337,47192,145
9000,6,236,34941,157
9000,8,190,28527,166
9000,10,241,35467,155
9000,12,213,32468,159
9000,14,185,28691,165
9000,16,173,27948,169
9000,18,199,31199,161
9000,20,204,30957,162
9000,22,200,31175,163
9000,24,200,29761,165
9000,26,196,31430,164
9000,28,190,30079,167
9000,30,182,29057,169
9000,32,180,29357,169
10000,1,1721,216375,126
10000,2,891,118643,135
10000,4,483,70713,146
10000,6,341,52658,157
10000,8,273,42940,166
10000,10,338,50651,156
10000,12,302,45985,160
10000,14,267,42580,165
10000,16,246,41127,168
10000,18,281,43915,162
10000,20,285,43646,163
10000,22,282,44895,164
10000,24,281,45105,165
10000,26,277,42135,165
10000,28,268,41457,167
10000,30,256,41956,169
10000,32,256,40504,169
