matrix_size,threads_used,seconds,joules,mean_watts
3000,1,17,1408,95
3000,2,9,1645,114
3000,4,5,1306,119
3000,6,4,901,112
3000,8,4,1158,124
3000,10,6,1142,112
3000,12,5,1051,118
3000,14,5,920,136
3000,16,4,1008,125
3000,18,6,904,126
3000,20,6,942,111
3000,22,6,1243,122
3000,24,6,787,124
3000,26,5,915,120
3000,28,5,1140,128
3000,30,5,1242,113
3000,32,5,1142,128
4000,1,59,5794,103
4000,2,77,7830,104
4000,4,41,4799,108
4000,6,28,2897,117
4000,8,21,2566,122
4000,10,18,1891,129
4000,12,15,1858,133
4000,14,13,2781,129
4000,16,12,3531,132
4000,18,15,3807,125
4000,20,17,4567,120
4000,22,16,3929,126
4000,24,15,3618,127
4000,26,14,3618,127
4000,28,13,3920,129
4000,30,13,3641,127
4000,32,12,3899,125
5000,1,128,12882,104
5000,2,143,14745,105
5000,4,77,8425,113
5000,6,53,5463,119
5000,8,42,4342,124
5000,10,35,4649,128
5000,12,33,3969,133
5000,14,29,3842,137
5000,16,28,3919,150
5000,18,35,4037,132
5000,20,36,3902,131
5000,22,35,3934,132
5000,24,32,4335,134
5000,26,31,4138,133
5000,28,29,3596,138
5000,30,28,3391,141
5000,32,27,3554,143
6000,1,283,29304,105
6000,2,319,32329,105
6000,4,164,18139,113
6000,6,113,12366,120
6000,8,88,10952,125
6000,10,72,8930,130
6000,12,61,7869,135
6000,14,54,7308,139
6000,16,49,6222,145
6000,18,63,7679,134
6000,20,66,7584,133
6000,22,64,7531,134
6000,24,61,7370,136
6000,26,57,7502,138
6000,28,53,7163,139
6000,30,50,7225,140
6000,32,50,6345,145
7000,1,524,54393,105
7000,2,523,53965,105
7000,4,275,30714,114
7000,6,190,21980,121
7000,8,145,17160,126
7000,10,119,14763,132
7000,12,100,11936,137
7000,14,88,11462,141
7000,16,84,11168,145
7000,18,100,12441,136
7000,20,106,13818,134
7000,22,104,13426,136
7000,24,101,12374,137
7000,26,95,12444,140
7000,28,88,11565,142
7000,30,84,10738,144
7000,32,84,11232,146
8000,1,875,91380,105
8000,2,800,84095,106
8000,4,428,47090,114
8000,6,294,34401,122
8000,8,227,27767,127
8000,10,185,22480,133
8000,12,156,19267,138
8000,14,137,18147,143
8000,16,131,18512,146
8000,18,159,19547,138
8000,20,164,20973,138
8000,22,162,21872,138
8000,24,160,20784,139
8000,26,150,19752,144
8000,28,142,18523,144
8000,30,137,18265,144
8000,32,135,17908,147
9000,1,1280,133894,105
9000,2,1170,122792,106
9000,4,621,68557,115
9000,6,421,50214,122
9000,8,327,40740,128
9000,10,266,32300,134
9000,12,226,28661,139
9000,14,200,26985,145
9000,16,188,25520,147
9000,18,226,29122,139
9000,20,232,30499,139
9000,22,232,31034,140
9000,24,224,30783,141
9000,26,217,28960,143
9000,28,207,27105,145
9000,30,201,25748,146
9000,32,197,26521,147
10000,1,1827,191995,106
10000,2,1604,169299,107
10000,4,865,98758,115
10000,6,592,71088,123
10000,8,453,55786,129
10000,10,372,48236,134
10000,12,317,42699,140
10000,14,279,37442,146
10000,16,264,36756,148
10000,18,313,42666,141
10000,20,324,42593,141
10000,22,319,41174,142
10000,24,312,43069,142
10000,26,303,43063,144
10000,28,290,39398,146
10000,30,279,38442,148
10000,32,287,40463,146
