matrix_size,threads_used,seconds,joules,mean_watts
3000,1,19,2415,102
3000,2,27,875,96
3000,4,14,1646,110
3000,6,10,1337,116
3000,8,8,998,119
3000,10,6,817,123
3000,12,6,656,125
3000,14,5,914,125
3000,16,5,868,124
3000,18,5,777,117
3000,20,6,841,127
3000,22,5,964,126
3000,24,5,831,125
3000,26,5,764,129
3000,28,5,915,125
3000,30,5,846,135
3000,32,5,936,133
4000,1,67,6856,104
4000,2,74,7811,104
4000,4,40,4670,110
4000,6,27,3012,118
4000,8,21,2550,122
4000,10,17,2347,125
4000,12,15,1943,128
4000,14,13,1683,134
4000,16,12,1723,137
4000,18,15,2058,131
4000,20,16,1959,129
4000,22,15,2199,127
4000,24,14,2333,127
4000,26,14,2064,136
4000,28,13,2218,133
4000,30,12,1988,131
4000,32,12,1887,139
5000,1,132,13626,104
5000,2,143,14937,105
5000,4,76,8584,114
5000,6,54,5950,119
5000,8,42,4854,124
5000,10,35,4753,129
5000,12,33,4426,131
5000,14,27,3882,137
5000,16,26,3499,139
5000,18,33,4475,133
5000,20,34,4688,130
5000,22,34,4640,131
5000,24,31,4110,134
5000,26,30,3717,135
5000,28,28,3472,138
5000,30,26,3669,142
5000,32,26,3685,142
6000,1,309,32337,104
6000,2,301,30973,105
6000,4,160,17167,113
6000,6,108,12242,120
6000,8,85,9284,125
6000,10,69,7964,130
6000,12,59,7134,135
6000,14,52,7249,140
6000,16,49,7041,139
6000,18,60,7446,135
6000,20,64,7717,134
6000,22,61,8175,134
6000,24,59,7653,135
6000,26,55,6340,138
6000,28,52,7266,140
6000,30,48,6522,142
6000,32,47,6643,145
7000,1,562,58741,105
7000,2,502,51926,107
7000,4,267,28421,114
7000,6,181,20462,121
7000,8,141,16567,127
7000,10,113,14384,131
7000,12,97,13305,137
7000,14,86,11323,143
7000,16,81,10238,145
7000,18,98,12978,136
7000,20,102,13207,136
7000,22,99,12283,136
7000,24,97,11974,138
7000,26,90,11462,141
7000,28,86,11321,143
7000,30,83,11044,145
7000,32,81,11721,144
8000,1,907,94359,105
8000,2,794,83539,106
8000,4,419,47400,115
8000,6,287,34007,125
8000,8,222,27018,128
8000,10,182,22897,134
8000,12,154,20481,138
8000,14,136,18286,144
8000,16,129,18255,146
8000,18,157,20420,138
8000,20,161,20693,138
8000,22,160,19995,138
8000,24,155,20940,140
8000,26,148,20406,141
8000,28,139,18589,144
8000,30,135,17985,148
8000,32,134,18132,147
9000,1,1354,142729,106
9000,2,1195,125119,107
9000,4,617,69497,115
9000,6,428,51433,122
9000,8,327,40596,128
9000,10,271,33752,134
9000,12,230,29901,139
9000,14,202,28221,144
9000,16,192,26131,147
9000,18,229,30269,139
9000,20,235,29886,139
9000,22,237,30642,139
9000,24,230,30563,141
9000,26,220,29485,143
9000,28,209,28700,145
9000,30,201,28649,146
9000,32,202,28038,147
10000,1,1903,200373,106
10000,2,1708,179703,107
10000,4,899,102522,116
10000,6,618,73697,122
10000,8,473,58623,128
10000,10,389,49680,134
10000,12,329,43195,139
10000,14,292,42215,144
10000,16,276,39026,147
10000,18,324,42923,140
10000,20,339,45444,140
10000,22,334,42700,141
10000,24,325,45060,142
10000,26,317,43824,143
10000,28,308,42460,144
10000,30,298,41229,146
10000,32,295,40238,147
