matrix_size,threads_used,seconds,joules,mean_watts
3000,1,389,63420,163
3000,16,42,7455,176
3000,32,32,5932,186
3000,48,30,5615,185
3000,64,31,5736,187
3000,80,30,5613,188
3000,96,31,5711,183
3000,112,30,5599,186
3000,128,29,5546,188
3000,144,30,5566,184
3000,160,31,5704,183
3000,176,34,5988,179
3000,192,32,5797,181
3000,208,35,6233,178
3000,224,35,6198,175
3000,240,35,6134,175
3000,256,35,6114,176
3000,272,36,6228,172
4000,1,1039,168286,162
4000,16,104,18289,176
4000,32,68,12913,189
4000,48,70,13167,187
4000,64,67,12558,188
4000,80,66,12360,188
4000,96,65,12325,189
4000,112,65,12078,187
4000,128,61,11696,190
4000,144,66,12306,186
4000,160,70,12476,179
4000,176,72,13018,181
4000,192,66,12174,185
4000,208,74,12990,176
4000,224,71,12744,178
4000,240,68,12341,181
4000,256,73,12905,178
4000,272,75,13081,173
5000,1,2004,324857,162
5000,16,188,33534,178
5000,32,138,26448,192
5000,48,137,26049,190
5000,64,132,24931,189
5000,80,131,25203,192
5000,96,126,23945,190
5000,112,131,24682,189
5000,128,135,25287,187
5000,144,131,24311,186
5000,160,123,23444,191
5000,176,128,24101,189
5000,192,121,23051,190
5000,208,122,23265,191
5000,224,133,24700,186
5000,240,140,25314,181
5000,256,142,25497,179
5000,272,131,23907,183
6000,1,5547,899898,162
6000,16,443,78861,178
6000,32,267,51403,193
6000,48,248,47207,191
6000,64,226,43271,191
6000,80,227,44075,194
6000,96,203,40027,197
6000,112,207,40620,196
6000,128,206,40733,198
6000,144,216,41778,194
6000,160,224,43695,195
6000,176,214,42094,196
6000,192,205,39349,192
6000,208,203,40375,199
6000,224,206,39213,190
6000,240,202,38828,192
6000,256,221,41632,188
6000,272,219,42330,193
7000,1,12120,1964618,162
7000,16,923,163894,178
7000,32,507,97896,193
7000,48,444,85541,193
7000,64,410,78435,191
7000,80,372,72616,195
7000,96,347,68272,197
7000,112,351,68957,197
7000,128,359,70662,197
7000,144,338,67283,199
7000,160,352,69699,198
7000,176,352,70000,199
7000,192,352,70291,200
7000,208,349,70037,200
7000,224,338,67376,199
7000,240,345,68909,200
7000,256,337,68010,202
7000,272,336,67423,201
8000,1,25165,4073925,162
8000,16,1587,280585,177
8000,32,811,157560,194
8000,48,680,131679,194
8000,64,611,118192,194
8000,80,589,114978,195
8000,96,516,102590,199
8000,112,505,100631,199
8000,128,502,100333,200
8000,144,493,98354,200
8000,160,485,97529,201
8000,176,504,100939,200
8000,192,498,101121,203
8000,208,503,102021,203
8000,224,494,100929,204
8000,240,502,102681,205
8000,256,506,103967,205
8000,272,494,102034,206
9000,1,30083,4904133,163
9000,16,1965,351853,179
9000,32,1080,212257,197
9000,48,1129,218747,194
9000,64,1000,193729,194
9000,80,900,177003,197
9000,96,816,160455,197
9000,112,777,154564,199
9000,128,747,149103,200
9000,144,743,148626,200
9000,160,725,145000,200
9000,176,722,144464,200
9000,192,744,147986,199
9000,208,739,147882,200
9000,224,737,147524,200
9000,240,742,149541,201
9000,256,764,155181,203
9000,272,749,155350,207
10000,1,73455,11904531,162
10000,16,4561,803158,176
10000,32,2250,431768,192
10000,48,1737,337742,194
10000,64,1507,292339,194
10000,80,1335,261894,196
10000,96,1191,237129,199
10000,112,1102,220115,200
10000,128,1050,210941,201
10000,144,1017,203822,200
10000,160,1033,206426,200
10000,176,1022,204389,200
10000,192,1041,207694,199
10000,208,1006,202831,202
10000,224,1025,204248,199
10000,240,1014,204711,202
10000,256,1049,212189,202
10000,272,1052,216072,205
