matrix_size,threads_used,seconds
3000,1,30
3000,1,30
3000,1,29
3000,1,29
3000,1,30
3000,1,30
3000,1,29
3000,1,30
3000,1,30
3000,1,29
3000,2,16
3000,2,16
3000,2,16
3000,2,16
3000,2,17
3000,2,16
3000,2,16
3000,2,16
3000,2,16
3000,2,16
3000,4,13
3000,4,13
3000,4,13
3000,4,13
3000,4,12
3000,4,12
3000,4,13
3000,4,12
3000,4,13
3000,4,13
3000,6,13
3000,6,13
3000,6,14
3000,6,14
3000,6,13
3000,6,14
3000,6,13
3000,6,14
3000,6,13
3000,6,13
3000,8,19
3000,8,19
3000,8,20
3000,8,20
3000,8,20
3000,8,20
3000,8,20
3000,8,20
3000,8,19
3000,8,20
3000,10,20
3000,10,20
3000,10,20
3000,10,20
3000,10,20
3000,10,19
3000,10,20
3000,10,20
3000,10,20
3000,10,20
3000,12,19
3000,12,19
3000,12,19
3000,12,19
3000,12,19
3000,12,19
3000,12,20
3000,12,19
3000,12,19
3000,12,19
3000,14,18
3000,14,19
3000,14,19
3000,14,18
3000,14,18
3000,14,19
3000,14,19
3000,14,18
3000,14,18
3000,14,18
3000,16,17
3000,16,17
3000,16,17
3000,16,18
3000,16,18
3000,16,17
3000,16,18
3000,16,17
3000,16,17
3000,16,18
3000,18,17
3000,18,17
3000,18,16
3000,18,17
3000,18,17
3000,18,17
3000,18,17
3000,18,17
3000,18,17
3000,18,16
3000,20,16
3000,20,16
3000,20,16
3000,20,16
3000,20,16
3000,20,16
3000,20,16
3000,20,16
3000,20,17
3000,20,16
3000,22,16
3000,22,16
3000,22,16
3000,22,16
3000,22,16
3000,22,17
3000,22,16
3000,22,16
3000,22,16
3000,22,16
3000,24,16
3000,24,16
3000,24,15
3000,24,15
3000,24,15
3000,24,15
3000,24,15
3000,24,15
3000,24,15
3000,24,15
3000,26,15
3000,26,15
3000,26,15
3000,26,15
3000,26,15
3000,26,15
3000,26,15
3000,26,15
3000,26,15
3000,26,15
3000,28,15
3000,28,15
3000,28,15
3000,28,15
3000,28,15
3000,28,15
3000,28,15
3000,28,15
3000,28,15
3000,28,15
3000,30,14
3000,30,15
3000,30,14
3000,30,14
3000,30,14
3000,30,14
3000,30,14
3000,30,15
3000,30,15
3000,30,14
3000,32,14
3000,32,15
3000,32,14
3000,32,14
3000,32,14
3000,32,14
3000,32,14
3000,32,14
3000,32,14
3000,32,14
4000,1,89
4000,1,89
4000,1,89
4000,1,89
4000,1,89
4000,1,89
4000,1,89
4000,1,88
4000,1,89
4000,1,89
4000,2,46
4000,2,46
4000,2,46
4000,2,46
4000,2,46
4000,2,46
4000,2,46
4000,2,46
4000,2,46
4000,2,45
4000,4,34
4000,4,35
4000,4,35
4000,4,34
4000,4,34
4000,4,33
4000,4,34
4000,4,35
4000,4,35
4000,4,35
4000,6,34
4000,6,34
4000,6,34
4000,6,35
