matrix_size,threads_used,seconds
3000,1,10
3000,1,10
3000,1,10
3000,1,10
3000,1,10
3000,1,10
3000,1,10
3000,1,11
3000,1,10
3000,1,11
3000,2,7
3000,2,7
3000,2,7
3000,2,7
3000,2,7
3000,2,7
3000,2,7
3000,2,8
3000,2,7
3000,2,7
3000,4,4
3000,4,4
3000,4,4
3000,4,4
3000,4,4
3000,4,4
3000,4,4
3000,4,4
3000,4,4
3000,4,4
3000,6,3
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,3
3000,6,3
3000,6,4
3000,6,3
3000,8,3
3000,8,3
3000,8,3
3000,8,3
3000,8,3
3000,8,3
3000,8,3
3000,8,3
3000,8,3
3000,8,3
3000,10,3
3000,10,3
3000,10,3
3000,10,3
3000,10,3
3000,10,3
3000,10,3
3000,10,3
3000,10,3
3000,10,3
3000,12,3
3000,12,3
3000,12,3
3000,12,3
3000,12,3
3000,12,3
3000,12,3
3000,12,3
3000,12,3
3000,12,3
3000,14,3
3000,14,3
3000,14,3
3000,14,3
3000,14,3
3000,14,3
3000,14,3
3000,14,3
3000,14,3
3000,14,3
3000,16,3
3000,16,3
3000,16,3
3000,16,3
3000,16,3
3000,16,3
3000,16,3
3000,16,3
3000,16,3
3000,16,3
3000,18,3
3000,18,3
3000,18,3
3000,18,3
3000,18,3
3000,18,3
3000,18,3
3000,18,3
3000,18,3
3000,18,3
3000,20,3
3000,20,3
3000,20,3
3000,20,3
3000,20,3
3000,20,3
3000,20,3
3000,20,3
3000,20,3
3000,20,3
3000,22,3
3000,22,3
3000,22,3
3000,22,3
3000,22,3
3000,22,3
3000,22,3
3000,22,3
3000,22,3
3000,22,3
3000,24,3
3000,24,3
3000,24,3
3000,24,3
3000,24,3
3000,24,3
3000,24,3
3000,24,3
3000,24,3
3000,24,3
3000,26,3
3000,26,3
3000,26,3
3000,26,3
3000,26,3
3000,26,3
3000,26,3
3000,26,3
3000,26,3
3000,26,3
3000,28,3
3000,28,3
3000,28,3
3000,28,3
3000,28,3
3000,28,3
3000,28,3
3000,28,3
3000,28,3
3000,28,3
3000,30,3
3000,30,3
3000,30,3
3000,30,3
3000,30,3
3000,30,3
3000,30,3
3000,30,3
3000,30,3
3000,30,3
3000,32,3
3000,32,3
3000,32,3
3000,32,3
3000,32,3
3000,32,3
3000,32,3
3000,32,3
3000,32,3
3000,32,3
4000,1,42
4000,1,42
4000,1,42
4000,1,42
4000,1,42
4000,1,42
4000,1,42
4000,1,42
4000,1,42
4000,1,42
4000,2,26
4000,2,26
4000,2,25
4000,2,26
4000,2,26
4000,2,26
4000,2,26
4000,2,26
4000,2,26
4000,2,26
4000,4,13
4000,4,14
4000,4,13
4000,4,14
4000,4,13
4000,4,14
4000,4,14
4000,4,13
4000,4,14
4000,4,14
4000,6,13
4000,6,13
4000,6,13
4000,6,13
4000,6,13
4000,6,13
4000,6,13
4000,6,13
4000,6,13
4000,6,13
4000,8,11
4000,8,11
4000,8,11
4000,8,11
4000,8,11
4000,8,11
4000,8,11
4000,8,11
4000,8,11
4000,8,11
4000,10,10
4000,10,10
4000,10,11
4000,10,11
4000,10,10
4000,10,11
4000,10,11
4000,10,11
4000,10,10
4000,10,10
4000,12,10
4000,12,10
4000,12,10
4000,12,10
4000,12,10
4000,12,10
4000,12,10
4000,12,10
4000,12,10
4000,12,10
4000,14,9
4000,14,9
4000,14,9
4000,14,9
4000,14,9
4000,14,9
4000,14,9
4000,14,9
4000,14,9
4000,14,10
4000,16,10
4000,16,10
4000,16,10
4000,16,10
4000,16,10
4000,16,10
4000,16,10
4000,16,10
4000,16,10
4000,16,10
4000,18,10
4000,18,10
4000,18,10
4000,18,10
4000,18,10
4000,18,10
4000,18,10
4000,18,10
4000,18,10
4000,18,10
4000,20,11
4000,20,11
4000,20,11
4000,20,11
4000,20,11
4000,20,11
4000,20,11
4000,20,11
4000,20,11
4000,20,11
4000,22,10
4000,22,10
4000,22,10
4000,22,10
4000,22,10
4000,22,10
4000,22,10
4000,22,10
4000,22,11
4000,22,10
4000,24,11
4000,24,11
4000,24,11
4000,24,11
4000,24,11
4000,24,11
4000,24,11
4000,24,11
4000,24,11
4000,24,11
4000,26,10
4000,26,10
4000,26,10
4000,26,10
4000,26,10
4000,26,10
4000,26,10
4000,26,10
4000,26,10
4000,26,10
4000,28,10
4000,28,10
4000,28,10
4000,28,10
4000,28,10
4000,28,10
4000,28,10
4000,28,10
4000,28,10
4000,28,10
4000,30,10
4000,30,10
4000,30,10
4000,30,10
4000,30,10
4000,30,10
4000,30,10
4000,30,10
4000,30,10
4000,30,10
4000,32,10
4000,32,10
4000,32,10
4000,32,10
4000,32,10
4000,32,10
4000,32,10
4000,32,10
4000,32,10
4000,32,10
5000,1,98
5000,1,98
5000,1,98
5000,1,98
5000,1,97
5000,1,96
5000,1,100
5000,1,102
5000,1,98
5000,1,99
5000,2,56
5000,2,56
5000,2,56
5000,2,56
5000,2,57
5000,2,56
5000,2,56
5000,2,55
5000,2,56
5000,2,56
5000,4,30
5000,4,30
5000,4,30
5000,4,29
5000,4,30
5000,4,30
5000,4,30
5000,4,30
5000,4,30
5000,4,30
5000,6,28
5000,6,28
5000,6,28
5000,6,29
5000,6,28
5000,6,28
5000,6,28
5000,6,28
5000,6,28
5000,6,28
5000,8,24
5000,8,24
5000,8,24
5000,8,24
5000,8,24
5000,8,24
5000,8,24
5000,8,24
5000,8,24
5000,8,24
5000,10,23
5000,10,23
5000,10,23
5000,10,23
5000,10,23
5000,10,23
5000,10,23
5000,10,23
5000,10,23
5000,10,23
5000,12,21
5000,12,21
5000,12,21
5000,12,21
5000,12,21
5000,12,21
5000,12,21
5000,12,21
5000,12,21
5000,12,21
5000,14,21
5000,14,21
5000,14,21
5000,14,21
5000,14,21
5000,14,21
5000,14,21
5000,14,21
5000,14,21
5000,14,21
5000,16,24
5000,16,24
5000,16,23
5000,16,24
5000,16,23
5000,16,24
5000,16,23
5000,16,24
5000,16,24
5000,16,23
5000,18,22
5000,18,22
5000,18,22
5000,18,22
5000,18,22
5000,18,22
5000,18,22
5000,18,22
5000,18,22
5000,18,22
5000,20,25
5000,20,25
5000,20,24
5000,20,25
5000,20,24
5000,20,24
5000,20,24
5000,20,24
5000,20,24
5000,20,24
5000,22,24
5000,22,24
5000,22,24
5000,22,24
5000,22,24
5000,22,24
5000,22,24
5000,22,24
5000,22,24
5000,22,24
5000,24,24
5000,24,25
5000,24,24
5000,24,24
5000,24,24
5000,24,24
5000,24,25
5000,24,24
5000,24,25
5000,24,25
5000,26,24
5000,26,24
5000,26,24
5000,26,24
5000,26,24
5000,26,24
5000,26,24
5000,26,24
5000,26,24
5000,26,24
5000,28,24
5000,28,24
5000,28,23
5000,28,23
5000,28,24
5000,28,24
5000,28,24
5000,28,24
5000,28,23
5000,28,24
5000,30,24
5000,30,24
5000,30,24
5000,30,24
5000,30,24
5000,30,24
5000,30,23
5000,30,24
5000,30,24
5000,30,24
5000,32,23
5000,32,23
5000,32,23
5000,32,23
