matrix_size,threads_used,seconds
3000,1,12
3000,1,11
3000,1,11
3000,1,12
3000,1,12
3000,1,11
3000,1,11
3000,1,11
3000,1,12
3000,1,12
3000,2,7
3000,2,7
3000,2,7
3000,2,7
3000,2,7
3000,2,7
3000,2,7
3000,2,7
3000,2,7
3000,2,7
3000,4,4
3000,4,4
3000,4,4
3000,4,4
3000,4,4
3000,4,4
3000,4,4
3000,4,4
3000,4,4
3000,4,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,10,4
3000,10,4
3000,10,4
3000,10,4
3000,10,4
3000,10,4
3000,10,4
3000,10,4
3000,10,4
3000,10,4
3000,12,4
3000,12,4
3000,12,4
3000,12,4
3000,12,4
3000,12,4
3000,12,4
3000,12,4
3000,12,4
3000,12,4
3000,14,4
3000,14,4
3000,14,4
3000,14,4
3000,14,4
3000,14,4
3000,14,4
3000,14,4
3000,14,4
3000,14,4
3000,16,5
3000,16,5
3000,16,5
3000,16,5
3000,16,5
3000,16,5
3000,16,5
3000,16,5
3000,16,5
3000,16,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,22,5
3000,22,5
3000,22,5
3000,22,5
3000,22,5
3000,22,5
3000,22,5
3000,22,5
3000,22,5
3000,22,5
3000,24,5
3000,24,5
3000,24,5
3000,24,5
3000,24,5
3000,24,5
3000,24,5
3000,24,5
3000,24,5
3000,24,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,30,5
3000,30,5
3000,30,5
3000,30,5
3000,30,5
3000,30,5
3000,30,5
3000,30,5
3000,30,5
3000,30,5
3000,32,5
3000,32,5
3000,32,5
3000,32,5
3000,32,5
3000,32,5
3000,32,5
3000,32,5
3000,32,5
3000,32,5
4000,1,50
4000,1,50
4000,1,50
4000,1,50
4000,1,50
4000,1,51
4000,1,50
4000,1,50
4000,1,50
4000,1,50
4000,2,32
4000,2,32
4000,2,32
4000,2,32
4000,2,32
4000,2,32
4000,2,32
4000,2,32
4000,2,32
4000,2,32
4000,4,15
4000,4,15
4000,4,16
4000,4,16
4000,4,15
4000,4,16
4000,4,16
4000,4,15
4000,4,15
4000,4,15
4000,6,16
4000,6,16
4000,6,16
4000,6,16
4000,6,16
4000,6,16
4000,6,16
4000,6,16
4000,6,16
4000,6,16
4000,8,14
4000,8,14
4000,8,14
4000,8,14
4000,8,14
4000,8,14
4000,8,14
4000,8,14
4000,8,14
4000,8,14
4000,10,13
4000,10,13
4000,10,13
4000,10,13
4000,10,13
4000,10,13
4000,10,13
4000,10,13
4000,10,13
4000,10,13
4000,12,13
4000,12,13
4000,12,13
4000,12,13
4000,12,13
4000,12,13
4000,12,13
4000,12,13
4000,12,13
4000,12,13
4000,14,13
4000,14,13
4000,14,13
4000,14,13
4000,14,13
4000,14,13
4000,14,13
4000,14,13
4000,14,13
4000,14,13
4000,16,16
4000,16,16
4000,16,16
4000,16,16
4000,16,16
4000,16,16
4000,16,16
4000,16,16
4000,16,16
4000,16,16
4000,18,16
4000,18,16
4000,18,16
4000,18,16
4000,18,16
4000,18,16
4000,18,16
4000,18,16
4000,18,16
4000,18,16
4000,20,17
4000,20,17
4000,20,17
4000,20,17
4000,20,17
4000,20,17
4000,20,17
4000,20,17
4000,20,17
4000,20,17
4000,22,17
4000,22,17
4000,22,17
4000,22,17
4000,22,17
4000,22,17
4000,22,17
4000,22,17
4000,22,17
4000,22,17
4000,24,18
4000,24,18
4000,24,18
4000,24,18
4000,24,18
4000,24,18
4000,24,18
4000,24,18
4000,24,18
4000,24,18
4000,26,17
4000,26,17
4000,26,17
4000,26,17
4000,26,17
4000,26,17
