matrix_size,threads_used,seconds
3000,1,15
3000,1,14
3000,1,14
3000,1,14
3000,1,14
3000,1,14
3000,1,15
3000,1,14
3000,1,14
3000,1,14
3000,2,5
3000,2,5
3000,2,5
3000,2,5
3000,2,5
3000,2,5
3000,2,5
3000,2,5
3000,2,5
3000,2,5
3000,4,3
3000,4,3
3000,4,3
3000,4,3
3000,4,3
3000,4,3
3000,4,3
3000,4,3
3000,4,3
3000,4,3
3000,6,3
3000,6,3
3000,6,3
3000,6,3
3000,6,3
3000,6,3
3000,6,3
3000,6,3
3000,6,3
3000,6,3
3000,8,3
3000,8,2
3000,8,3
3000,8,2
3000,8,3
3000,8,2
3000,8,2
3000,8,3
3000,8,2
3000,8,2
3000,10,3
3000,10,3
3000,10,3
3000,10,3
3000,10,3
3000,10,3
3000,10,3
3000,10,3
3000,10,3
3000,10,3
3000,12,3
3000,12,3
3000,12,3
3000,12,3
3000,12,3
3000,12,3
3000,12,3
3000,12,3
3000,12,3
3000,12,3
3000,14,3
3000,14,2
3000,14,3
3000,14,2
3000,14,3
3000,14,2
3000,14,2
3000,14,2
3000,14,2
3000,14,3
3000,16,2
3000,16,2
3000,16,2
3000,16,2
3000,16,2
3000,16,2
3000,16,2
3000,16,2
3000,16,2
3000,16,2
3000,18,2
3000,18,2
3000,18,2
3000,18,2
3000,18,2
3000,18,2
3000,18,2
3000,18,2
3000,18,2
3000,18,2
3000,20,2
3000,20,2
3000,20,2
3000,20,2
3000,20,2
3000,20,2
3000,20,2
3000,20,2
3000,20,2
3000,20,2
3000,22,2
3000,22,2
3000,22,2
3000,22,2
3000,22,2
3000,22,2
3000,22,2
3000,22,2
3000,22,2
3000,22,2
3000,24,2
3000,24,2
3000,24,2
3000,24,2
3000,24,2
3000,24,2
3000,24,2
3000,24,2
3000,24,2
3000,24,2
3000,26,2
3000,26,2
3000,26,2
3000,26,2
3000,26,2
3000,26,2
3000,26,2
3000,26,2
3000,26,2
3000,26,2
3000,28,2
3000,28,2
3000,28,2
3000,28,2
3000,28,2
3000,28,2
3000,28,2
3000,28,2
3000,28,2
3000,28,2
3000,30,2
3000,30,2
3000,30,2
3000,30,2
3000,30,2
3000,30,2
3000,30,2
3000,30,2
3000,30,2
3000,30,2
3000,32,2
3000,32,2
3000,32,2
3000,32,2
3000,32,2
3000,32,2
3000,32,2
3000,32,2
3000,32,2
3000,32,2
4000,1,52
4000,1,52
4000,1,51
4000,1,51
4000,1,52
4000,1,51
4000,1,53
4000,1,51
4000,1,52
4000,1,51
4000,2,13
4000,2,13
4000,2,13
4000,2,13
4000,2,13
4000,2,13
4000,2,13
4000,2,13
4000,2,13
4000,2,13
4000,4,9
4000,4,9
4000,4,9
4000,4,9
4000,4,9
4000,4,9
4000,4,9
4000,4,9
4000,4,9
4000,4,9
4000,6,7
4000,6,7
4000,6,7
4000,6,7
4000,6,7
4000,6,7
4000,6,7
4000,6,7
4000,6,7
4000,6,7
4000,8,6
4000,8,6
4000,8,7
4000,8,6
4000,8,7
4000,8,6
4000,8,6
4000,8,6
4000,8,6
4000,8,6
4000,10,7
4000,10,7
4000,10,7
4000,10,7
4000,10,7
4000,10,7
4000,10,7
4000,10,7
4000,10,7
4000,10,7
4000,12,7
4000,12,7
4000,12,7
4000,12,7
4000,12,7
4000,12,7
4000,12,7
4000,12,7
4000,12,7
4000,12,7
4000,14,6
4000,14,6
4000,14,6
