matrix_size,threads_used,seconds
3000,1,18
3000,1,18
3000,1,18
3000,1,19
3000,1,18
3000,1,18
3000,1,19
3000,1,19
3000,1,19
3000,1,19
3000,2,11
3000,2,11
3000,2,11
3000,2,11
3000,2,12
3000,2,11
3000,2,12
3000,2,12
3000,2,11
3000,2,11
3000,4,5
3000,4,6
3000,4,6
3000,4,5
3000,4,5
3000,4,6
3000,4,5
3000,4,6
3000,4,6
3000,4,5
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,10,6
3000,10,6
3000,10,6
3000,10,6
3000,10,6
3000,10,6
3000,10,6
3000,10,6
3000,10,6
3000,10,6
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,14,5
3000,14,5
3000,14,5
3000,14,5
3000,14,5
3000,14,5
3000,14,5
3000,14,5
3000,14,5
3000,14,5
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,20,4
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,22,4
3000,22,4
3000,22,4
3000,22,4
3000,22,4
3000,22,4
3000,22,4
3000,22,4
3000,22,4
3000,22,4
3000,24,4
3000,24,4
3000,24,4
3000,24,4
3000,24,4
3000,24,4
3000,24,4
3000,24,4
3000,24,4
3000,24,4
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,30,4
3000,30,4
3000,30,4
3000,30,4
3000,30,4
3000,30,4
3000,30,4
3000,30,4
3000,30,4
3000,30,4
3000,32,4
3000,32,4
3000,32,4
3000,32,4
3000,32,4
3000,32,4
3000,32,4
3000,32,5
3000,32,4
3000,32,5
4000,1,62
4000,1,65
4000,1,64
4000,1,63
4000,1,63
4000,1,63
4000,1,64
4000,1,67
4000,1,64
4000,1,64
4000,2,64
4000,2,64
4000,2,65
4000,2,63
4000,2,66
4000,2,64
4000,2,65
4000,2,67
4000,2,65
4000,2,65
4000,4,30
4000,4,31
4000,4,31
4000,4,31
4000,4,32
4000,4,31
4000,4,30
4000,4,30
4000,4,31
4000,4,30
4000,6,20
4000,6,20
4000,6,20
4000,6,19
4000,6,20
4000,6,20
4000,6,20
4000,6,19
4000,6,20
4000,6,20
4000,8,16
4000,8,15
4000,8,15
4000,8,16
4000,8,15
4000,8,15
4000,8,16
4000,8,16
4000,8,16
4000,8,16
4000,10,18
4000,10,18
4000,10,18
4000,10,18
4000,10,18
4000,10,18
4000,10,18
4000,10,18
4000,10,18
4000,10,18
4000,12,15
4000,12,16
4000,12,16
4000,12,16
4000,12,16
4000,12,15
4000,12,16
4000,12,16
4000,12,16
4000,12,15
4000,14,14
4000,14,14
4000,14,14
4000,14,14
4000,14,14
4000,14,14
4000,14,14
4000,14,14
4000,14,14
4000,14,14
4000,16,13
4000,16,12
4000,16,13
4000,16,12
4000,16,12
4000,16,13
4000,16,13
4000,16,13
4000,16,12
4000,16,13
4000,18,16
4000,18,16
4000,18,16
4000,18,16
4000,18,16
4000,18,16
4000,18,16
4000,18,16
4000,18,16
4000,18,16
4000,20,15
4000,20,16
4000,20,16
4000,20,15
4000,20,15
4000,20,16
4000,20,16
4000,20,16
4000,20,15
4000,20,16
4000,22,15
4000,22,15
4000,22,15
4000,22,15
4000,22,15
4000,22,15
4000,22,15
4000,22,15
4000,22,15
4000,22,15
4000,24,14
4000,24,14
4000,24,14
4000,24,14
4000,24,15
4000,24,14
4000,24,14
4000,24,15
4000,24,15
4000,24,14
4000,26,15
4000,26,15
4000,26,15
4000,26,15
4000,26,14
4000,26,15
4000,26,15
4000,26,15
4000,26,14
4000,26,15
4000,28,14
4000,28,14
4000,28,14
4000,28,14
4000,28,13
4000,28,14
4000,28,14
4000,28,14
4000,28,14
4000,28,14
4000,30,13
4000,30,13
4000,30,13
4000,30,13
4000,30,13
4000,30,13
4000,30,13
4000,30,13
4000,30,13
4000,30,13
4000,32,13
4000,32,13
4000,32,13
4000,32,13
4000,32,13
4000,32,13
4000,32,12
4000,32,13
4000,32,13
4000,32,13
5000,1,130
5000,1,129
5000,1,129
5000,1,129
5000,1,127
5000,1,128
5000,1,135
5000,1,129
5000,1,132
5000,1,130
5000,2,143
5000,2,140
5000,2,140
5000,2,142
5000,2,135
5000,2,141
5000,2,141
5000,2,135
5000,2,136
5000,2,142
5000,4,67
5000,4,66
5000,4,67
5000,4,67
5000,4,66
5000,4,67
5000,4,68
5000,4,68
5000,4,66
5000,4,66
5000,6,44
5000,6,45
5000,6,45
5000,6,44
5000,6,45
5000,6,45
5000,6,46
5000,6,46
5000,6,45
5000,6,46
5000,8,36
5000,8,36
5000,8,35
5000,8,36
5000,8,36
5000,8,34
5000,8,36
5000,8,35
5000,8,35
5000,8,35
5000,10,38
5000,10,35
5000,10,39
5000,10,36
5000,10,38
5000,10,35
5000,10,39
5000,10,37
5000,10,38
5000,10,38
5000,12,34
5000,12,34
5000,12,34
5000,12,35
5000,12,35
5000,12,34
5000,12,34
5000,12,34
5000,12,34
5000,12,35
5000,14,30
5000,14,29
5000,14,30
5000,14,30
5000,14,30
5000,14,30
5000,14,30
5000,14,30
5000,14,29
5000,14,30
5000,16,28
5000,16,27
5000,16,28
