matrix_size,threads_used,seconds
3000,1,386
3000,1,387
3000,1,384
3000,1,383
3000,1,385
3000,1,388
3000,1,386
3000,1,386
3000,1,383
3000,1,385
3000,16,39
3000,16,39
3000,16,40
3000,16,40
3000,16,39
3000,16,40
3000,16,40
3000,16,40
3000,16,39
3000,16,40
3000,32,30
3000,32,30
3000,32,30
3000,32,30
3000,32,30
3000,32,30
3000,32,30
3000,32,29
3000,32,30
3000,32,30
3000,48,28
3000,48,28
3000,48,28
3000,48,28
3000,48,28
3000,48,29
3000,48,29
3000,48,28
3000,48,29
3000,48,29
3000,64,29
3000,64,29
3000,64,29
3000,64,30
3000,64,29
3000,64,28
3000,64,28
3000,64,28
3000,64,28
3000,64,29
3000,80,29
3000,80,28
3000,80,28
3000,80,27
3000,80,27
3000,80,28
3000,80,28
3000,80,27
3000,80,28
3000,80,28
3000,96,27
3000,96,27
3000,96,27
3000,96,27
3000,96,27
3000,96,27
3000,96,27
3000,96,26
3000,96,27
3000,96,27
3000,112,27
3000,112,27
3000,112,28
3000,112,27
3000,112,27
3000,112,27
3000,112,27
3000,112,28
3000,112,29
3000,112,28
3000,128,27
3000,128,28
3000,128,28
3000,128,27
3000,128,27
3000,128,28
3000,128,27
3000,128,28
3000,128,27
3000,128,27
3000,144,27
3000,144,27
3000,144,27
3000,144,28
3000,144,27
3000,144,27
3000,144,27
3000,144,27
3000,144,27
3000,144,27
3000,160,28
3000,160,28
3000,160,26
3000,160,27
3000,160,28
3000,160,27
3000,160,28
3000,160,27
3000,160,27
3000,160,27
3000,176,28
3000,176,27
3000,176,27
3000,176,27
3000,176,28
3000,176,29
3000,176,27
3000,176,27
3000,176,26
3000,176,27
3000,192,31
3000,192,27
3000,192,27
3000,192,27
3000,192,28
3000,192,27
3000,192,27
3000,192,30
3000,192,27
3000,192,27
3000,208,29
3000,208,28
3000,208,28
3000,208,29
3000,208,29
3000,208,30
3000,208,29
3000,208,29
3000,208,27
3000,208,28
3000,224,28
3000,224,28
3000,224,28
3000,224,29
3000,224,28
3000,224,27
3000,224,28
3000,224,28
3000,224,29
3000,224,28
3000,240,28
3000,240,28
3000,240,29
3000,240,26
3000,240,26
3000,240,30
3000,240,29
3000,240,31
3000,240,29
3000,240,30
3000,256,30
3000,256,28
3000,256,29
3000,256,29
3000,256,29
3000,256,28
3000,256,29
3000,256,29
3000,256,28
3000,256,28
3000,272,28
3000,272,30
3000,272,30
3000,272,30
3000,272,30
3000,272,30
3000,272,30
3000,272,31
3000,272,28
3000,272,30
4000,1,1091
4000,1,1107
4000,1,1072
4000,1,1118
4000,1,1041
4000,1,1086
4000,1,1055
4000,1,1107
4000,1,1103
4000,1,1087
4000,16,99
4000,16,98
4000,16,98
4000,16,99
4000,16,103
4000,16,99
4000,16,99
4000,16,100
4000,16,99
4000,16,98
4000,32,65
4000,32,66
4000,32,66
4000,32,66
4000,32,66
4000,32,66
4000,32,65
4000,32,65
4000,32,66
4000,32,65
4000,48,68
4000,48,69
4000,48,67
4000,48,67
4000,48,69
4000,48,66
4000,48,67
4000,48,67
4000,48,65
4000,48,65
4000,64,62
4000,64,63
4000,64,66
4000,64,64
4000,64,65
4000,64,63
4000,64,65
4000,64,64
4000,64,62
4000,64,63
4000,80,61
4000,80,62
4000,80,62
4000,80,61
4000,80,62
4000,80,61
4000,80,61
4000,80,62
4000,80,61
4000,80,61
4000,96,60
4000,96,61
4000,96,59
4000,96,58
4000,96,60
4000,96,60
4000,96,58
4000,96,61
4000,96,60
4000,96,58
4000,112,59
4000,112,58
4000,112,59
4000,112,59
4000,112,58
4000,112,60
4000,112,57
4000,112,59
4000,112,58
4000,112,59
4000,128,57
4000,128,58
4000,128,57
4000,128,56
4000,128,57
4000,128,59
4000,128,59
4000,128,58
4000,128,58
4000,128,59
4000,144,57
4000,144,62
4000,144,58
4000,144,58
4000,144,57
4000,144,57
4000,144,57
4000,144,59
4000,144,59
4000,144,59
4000,160,57
4000,160,58
4000,160,60
4000,160,59
4000,160,57
4000,160,58
4000,160,58
4000,160,58
4000,160,59
4000,160,60
4000,176,65
4000,176,57
4000,176,57
4000,176,57
4000,176,60
4000,176,57
4000,176,58
4000,176,59
4000,176,57
4000,176,58
4000,192,61
4000,192,58
4000,192,62
4000,192,58
4000,192,62
4000,192,56
4000,192,59
4000,192,60
4000,192,60
4000,192,59
4000,208,59
4000,208,59
4000,208,59
4000,208,57
4000,208,57
4000,208,60
4000,208,59
4000,208,56
4000,208,58
4000,208,58
4000,224,56
4000,224,58
4000,224,58
4000,224,59
4000,224,58
4000,224,60
4000,224,61
4000,224,56
4000,224,56
4000,224,59
4000,240,60
4000,240,57
4000,240,59
4000,240,59
4000,240,57
4000,240,58
4000,240,59
4000,240,61
4000,240,61
4000,240,59
4000,256,62
4000,256,58
4000,256,61
4000,256,60
4000,256,61
4000,256,58
4000,256,60
4000,256,63
4000,256,63
4000,256,63
4000,272,62
4000,272,62
4000,272,59
4000,272,61
4000,272,65
4000,272,61
4000,272,63
4000,272,63
4000,272,62
4000,272,62
