matrix_size,threads_used,seconds
3000,1,383
3000,1,391
3000,1,388
3000,1,394
3000,1,393
3000,1,390
3000,1,391
3000,1,391
3000,1,392
3000,1,392
3000,16,40
3000,16,40
3000,16,40
3000,32,30
3000,32,30
3000,32,30
3000,48,29
3000,48,28
3000,48,29
3000,64,28
3000,64,30
3000,64,28
3000,80,28
3000,80,28
3000,80,28
3000,96,29
3000,96,28
3000,96,28
3000,112,31
3000,112,27
3000,112,27
3000,128,30
3000,128,29
3000,128,27
3000,144,30
3000,144,30
3000,144,29
3000,160,28
3000,160,32
3000,160,33
3000,176,30
3000,176,33
3000,176,34
3000,192,34
3000,192,33
3000,192,32
3000,208,33
3000,208,36
3000,208,32
3000,224,36
3000,224,34
3000,224,34
3000,240,30
3000,240,31
3000,240,33
3000,256,33
3000,256,33
3000,256,36
3000,272,36
3000,272,37
3000,272,37
4000,1,1090
4000,1,1034
4000,1,1085
4000,1,1048
4000,1,1161
4000,1,1079
4000,1,1114
4000,1,1124
4000,1,1073
4000,1,1073
4000,16,97
4000,16,101
4000,16,101
4000,32,65
4000,32,65
4000,32,65
4000,48,67
4000,48,68
4000,48,68
4000,64,64
4000,64,61
4000,64,64
4000,80,61
4000,80,64
4000,80,64
4000,96,63
4000,96,62
4000,96,60
4000,112,59
4000,112,64
4000,112,58
4000,128,57
4000,128,60
4000,128,60
4000,144,63
4000,144,58
4000,144,59
4000,160,64
4000,160,63
4000,160,65
4000,176,66
4000,176,60
4000,176,68
4000,192,73
4000,192,61
4000,192,61
4000,208,64
4000,208,69
4000,208,67
4000,224,72
4000,224,64
4000,224,71
4000,240,69
4000,240,65
4000,240,68
4000,256,68
4000,256,69
4000,256,70
4000,272,71
4000,272,72
4000,272,72
5000,1,2058
5000,1,2011
5000,1,2002
5000,1,2021
5000,1,2003
5000,1,2030
5000,1,1983
5000,1,2034
5000,1,2011
5000,1,2024
5000,16,188
5000,16,182
5000,16,184
5000,32,134
5000,32,138
5000,32,137
5000,48,131
5000,48,134
5000,48,134
5000,64,130
5000,64,129
5000,64,131
5000,80,122
5000,80,125
5000,80,122
5000,96,120
5000,96,122
5000,96,117
5000,112,123
5000,112,125
5000,112,120
5000,128,125
5000,128,123
5000,128,126
5000,144,124
5000,144,119
5000,144,119
5000,160,120
5000,160,120
5000,160,120
5000,176,119
5000,176,117
5000,176,124
5000,192,123
5000,192,123
5000,192,127
5000,208,128
5000,208,128
5000,208,130
5000,224,118
5000,224,129
5000,224,120
5000,240,131
5000,240,136
5000,240,133
5000,256,126
5000,256,130
5000,256,134
5000,272,136
5000,272,136
5000,272,139
6000,1,5186
6000,1,4963
6000,1,5391
6000,1,5497
6000,1,5123
6000,1,4975
6000,1,5184
6000,1,5166
6000,16,445
6000,16,434
6000,16,410
6000,32,274
6000,32,262
6000,32,276
6000,48,251
6000,48,237
6000,48,233
6000,64,216
6000,64,214
6000,64,218
6000,80,210
6000,80,199
6000,80,205
6000,96,207
6000,96,200
6000,96,211
6000,112,213
6000,112,226
6000,112,222
6000,128,211
6000,128,210
6000,128,215
6000,144,216
6000,144,223
6000,144,229
6000,160,229
6000,160,240
6000,160,240
6000,176,234
6000,176,226
6000,176,223
6000,192,199
6000,192,203
6000,192,225
6000,208,220
6000,208,210
6000,208,214
6000,224,200
6000,224,227
6000,224,216
6000,240,215
6000,240,206
6000,240,201
6000,256,209
6000,256,222
6000,256,218
6000,272,224
6000,272,208
6000,272,211
7000,1,11310
7000,1,11904
7000,1,11932
7000,1,12446
7000,1,12400
7000,1,11783
7000,1,12539
7000,1,11935
7000,1,12976
7000,1,12515
7000,16,917
7000,16,894
7000,16,912
7000,32,471
7000,32,477
7000,32,505
7000,48,440
7000,48,435
7000,48,426
7000,64,385
7000,64,382
7000,64,394
7000,80,370
7000,80,371
7000,80,367
7000,96,344
7000,96,344
7000,96,354
7000,112,351
7000,112,352
7000,112,353
7000,128,352
7000,128,357
7000,128,347
7000,144,354
7000,144,351
7000,144,358
7000,160,358
7000,160,357
7000,160,361
7000,176,359
7000,176,361
7000,176,363
7000,192,356
7000,192,348
7000,192,359
7000,208,354
7000,208,351
7000,208,357
7000,224,354
7000,224,351
7000,224,337
7000,240,349
7000,240,335
7000,240,351
7000,256,342
7000,256,342
7000,256,343
7000,272,334
7000,272,329
7000,272,340
8000,1,25711
8000,1,24925
8000,1,24595
8000,1,25071
8000,1,25528
8000,1,24518
8000,1,22950
8000,1,22801
8000,1,24773
8000,1,24961
8000,16,1521
8000,16,1532
8000,16,1574
8000,32,792
8000,32,809
8000,32,817
8000,48,669
8000,48,667
8000,48,672
8000,64,614
8000,64,579
8000,64,630
8000,80,572
8000,80,565
8000,80,557
8000,96,537
8000,96,527
8000,96,510
8000,112,519
8000,112,519
8000,112,509
8000,128,512
8000,128,512
8000,128,516
8000,144,510
8000,144,509
8000,144,511
8000,160,503
8000,160,509
8000,160,513
8000,176,522
8000,176,511
8000,176,505
8000,192,517
8000,192,522
8000,192,521
8000,208,546
8000,208,519
8000,208,516
8000,224,521
8000,224,534
8000,224,518
8000,240,523
8000,240,523
8000,240,507
8000,256,516
8000,256,522
8000,256,510
8000,272,501
8000,272,518
8000,272,504
9000,1,30121
9000,1,28082
9000,1,30074
9000,1,30349
9000,1,28788
9000,1,29684
9000,1,28890
9000,1,28201
9000,1,29006
9000,1,28175
9000,16,1944
9000,16,2038
9000,16,2009
9000,32,1076
9000,32,1058
9000,32,1069
9000,48,1068
9000,48,1120
9000,48,1108
9000,64,975
9000,64,1001
9000,64,993
9000,80,908
9000,80,900
9000,80,912
9000,96,811
9000,96,841
9000,96,810
9000,112,785
9000,112,779
9000,112,779
9000,128,767
9000,128,760
9000,128,766
9000,144,754
9000,144,755
9000,144,757
9000,160,737
9000,160,746
9000,160,754
9000,176,755
9000,176,749
9000,176,749
9000,192,759
9000,192,749
9000,192,760
9000,208,757
9000,208,756
9000,208,763
9000,224,762
9000,224,752
9000,224,770
9000,240,765
9000,240,761
9000,240,776
9000,256,780
9000,256,774
9000,256,782
9000,272,779
9000,272,781
9000,272,781
10000,1,70258
10000,1,70181
10000,1,68212
10000,1,70758
10000,16,4531
10000,16,4549
10000,16,4425
10000,32,2279
10000,32,2252
10000,32,2319
10000,48,1735
10000,48,1701
10000,48,1683
10000,64,1487
10000,64,1475
10000,64,1506
10000,80,1367
10000,80,1374
10000,80,1394
10000,96,1238
10000,96,1228
10000,96,1246
10000,112,1133
10000,112,1128
10000,112,1108
10000,128,1099
10000,128,1094
10000,128,1104
10000,144,1093
10000,144,1075
10000,144,1089
10000,160,1065
10000,160,1055
10000,160,1065
10000,176,1066
10000,176,1059
10000,176,1073
10000,192,1068
10000,192,1068
10000,192,1073
10000,208,1053
10000,208,1068
10000,208,1044
10000,224,1060
10000,224,1053
10000,224,1062
10000,240,1058
10000,240,1066
10000,240,1063
10000,256,1075
10000,256,1084
10000,256,1074
10000,272,1099
10000,272,1101
10000,272,1110
